Office,CensusPop,raceYear,weird,RaceTypeName,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,RaceNotes
Governor,N/A,1978,,General,Iowa,"491,713","Ray, Robert E.",Incumbent,"345,519","Fitzgerald, Jerome D.",Challenger,N/A,N/A,N/A,N/A,"5,958","146,194",R,0,58.73,41.27,
Governor,N/A,1978,,General,Idaho,"114,149","Larsen, Allan",Challenger,"169,540","Evans, John V.",Incumbent,N/A,N/A,N/A,N/A,"4,877","55,391",D,0,40.24,59.76,
Governor,N/A,1978,,General,Illinois,"1,859,684","Thompson, James R.",Incumbent,"1,263,134","Bakalis, Michael",Challenger,N/A,N/A,N/A,N/A,"27,277","596,550",R,0,59.55,40.45,
Governor,N/A,1978,,General,Kansas,"348,015","Bennett, Robert F.",Incumbent,"363,835","Carlin, John",Challenger,N/A,N/A,N/A,N/A,"24,396","15,820",D,0,48.89,51.11,
Governor,N/A,1978,,General,Massachusetts,"926,072","Hatch, Francis W.",Challenger,"1,030,294","King, Edward J.",Challenger,N/A,N/A,N/A,N/A,"5,885","104,222",D,0,47.34,52.66,
Governor,N/A,1978,,General,Maryland,"293,635","Beall, John Glenn Jr.",Challenger,"718,328","Hughes, Harry",Challenger,N/A,N/A,N/A,N/A,N/A,"424,693",D,0,29.02,70.98,
Governor,N/A,1978,,General,Maine,"126,862","Palmer, Linwood E.",Challenger,"176,493","Brennan, Joseph E.",Challenger,N/A,N/A,N/A,N/A,"66,903","49,631",D,0,41.82,58.18,
Governor,N/A,1978,,General,Michigan,"1,628,485","Milliken, William G.",Incumbent,"1,237,256","Fitzgerald, William",Challenger,N/A,N/A,N/A,N/A,"1,471","391,229",R,0,56.83,43.17,
Governor,N/A,1978,,General,Minnesota,"830,019","Quie, Albert H.",Challenger,"718,244","Perpich, Rudy",Incumbent,N/A,N/A,N/A,N/A,"37,439","111,775",R,0,53.61,46.39,
Governor,N/A,1978,,General,Nebraska,"275,473","Thone, Charles",Challenger,"216,754","Whelan, Gerald T.",Challenger,N/A,N/A,N/A,N/A,196,"58,719",R,0,55.96,44.04,
Governor,N/A,1978,,General,New Hampshire,"122,464","Thomson, Meldrim",Incumbent,"133,133","Gallen, Hugh J.",Challenger,N/A,N/A,N/A,N/A,"13,990","10,669",D,0,47.91,52.09,
Governor,N/A,1978,,General,New Mexico,"170,848","Skeen, Joseph R.",Challenger,"174,545","King, Bruce",Challenger,N/A,N/A,N/A,N/A,98,"3,697",D,0,49.46,50.54,
Governor,N/A,1978,,General,Nevada,"108,097","List, Robert F.",Challenger,"76,361","Rose, Robert E.",Challenger,N/A,N/A,N/A,N/A,"7,987","31,736",R,0,58.6,41.4,
Governor,N/A,1978,,General,New York,"2,156,404","Duryea, Perry B.",Challenger,"2,429,272","Carey, Hugh L.",Incumbent,N/A,N/A,N/A,N/A,"183,144","272,868",D,0,47.02,52.98,
Governor,N/A,1978,,General,Ohio,"1,402,167","Rhodes, James A.",Incumbent,"1,354,631","Celeste, Richard F.",Challenger,N/A,N/A,N/A,N/A,"86,553","47,536",R,0,50.86,49.14,
Governor,N/A,1978,,General,Oklahoma,"367,055","Shotts, Ron",Challenger,"402,240","Nigh, George",Challenger,N/A,N/A,N/A,N/A,"8,119","35,185",D,0,47.71,52.29,
Governor,N/A,1978,,General,Oregon,"498,452","Atiyeh, Victor",Challenger,"409,411","Straub, Robert W.",Incumbent,N/A,N/A,N/A,N/A,"3,280","89,041",R,0,54.9,45.1,
Governor,N/A,1978,,General,Pennsylvania,"1,966,042","Thornburgh, Richard",Challenger,"1,737,888","Flaherty, Peter",Challenger,N/A,N/A,N/A,N/A,"38,039","228,154",R,0,53.08,46.92,
Governor,N/A,1978,,General,Rhode Island,"96,596","Almond, Lincoln C.",Challenger,"197,386","Garrahy, J. Joseph",Incumbent,N/A,N/A,N/A,N/A,"20,381","100,790",D,0,32.86,67.14,
Governor,N/A,1978,,General,South Carolina,"236,946","Young, Edward L.",Challenger,"384,898","Riley, Richard W.",Challenger,N/A,N/A,N/A,N/A,"5,338","147,952",D,0,38.1,61.9,
Governor,N/A,1978,,General,South Dakota,"147,116","Janklow, William J.",Challenger,"112,679","McKellips, Roger",Challenger,N/A,N/A,N/A,N/A,N/A,"34,437",R,0,56.63,43.37,
Governor,N/A,1978,,General,Tennessee,"661,959","Alexander, Lamar",Challenger,"523,495","Butcher, Jake",Challenger,N/A,N/A,N/A,N/A,"4,241","138,464",R,0,55.84,44.16,
Governor,N/A,1978,,General,Texas,"1,183,839","Clements, William P.",Challenger,"1,166,979","Hill, John",Challenger,N/A,N/A,N/A,N/A,"18,946","16,860",R,0,50.36,49.64,
